Reaction, colour
O.OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)C(O)(CO)CO>>O.O=C(CO)[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@H](O)C(O)(CO)CO>>O.O=C[C@@H](O)[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@H](O)C(O)(CO)CO>>O.O=C[C@H](O)[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)[C@H](O)CO>>O.O=C(CO)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)CO>>O.O=C[C@@H](O)[C@H](O)CO,#000000
O.OC=C(O)[C@H](O)CO>>O.O=C[C@H](O)[C@H](O)CO,#000000
O.OC=C(O)C(O)(CO)C(O)CO>>O.O=C(CO)C(O)(CO)C(O)CO,#000000
O.OC=C(O)C(O)(CO)C(O)CO>>O.O=CC(O)C(O)(CO)C(O)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C(CO)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C(CO)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C[C@@H](O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=C[C@H](O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)(CO)CO>>O.O=CC(O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)C(O)(CO)CO>>O.O=C(CO)C(O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)C(O)(CO)CO>>O.O=CC(O)C(O)C(O)(CO)CO,#000000
O.OC=C(O)C(O)C(O)C(O)CO>>O.O=C(CO)C(O)C(O)C(O)CO,#000000
O.OC=C(O)C(O)C(O)C(O)CO>>O.O=CC(O)C(O)C(O)C(O)CO,#000000
O.OC=C(O)C(O)C(O)CO>>O.O=C(CO)C(O)C(O)CO,#000000
O.OC=C(O)C(O)C(O)CO>>O.O=CC(O)C(O)C(O)CO,#000000
O.OC=C(O)C(O)CO>>O.O=C(CO)C(O)CO,#000000
O.OC=C(O)C(O)CO>>O.O=CC(O)C(O)CO,#000000
O.OC=C(O)CO>>O.O=C(CO)CO,#000000
O.OC=C(O)CO>>O.O=C(CO)CO,#000000
O.OC=C(O)CO>>O.O=C[C@@H](O)CO,#000000
O.OC=C(O)CO>>O.O=C[C@H](O)CO,#000000
O.OC=C(O)CO>>O.O=CC(O)CO,#000000
O.OC=CO>>O.O=CCO,#000000
O.OC=CO>>O.O=CCO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@H](O)CO>>O.O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@H](O)CO>>O.O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@@H](O)CO>>O.O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@@H](O)CO>>O.O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)[C@@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@H](O)CO>>O.O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@H](O)CO>>O.O=C([C@H](O)CO)[C@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)CO>>O.O=C([C@@H](O)CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)CO>>O.O=C([C@H](O)CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)CO>>O.O=C(CO)[C@@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)[C@H](O)CO>>O.O=C(CO)[C@H](O)[C@H](O)CO,#000000
O.OCC(O)=C(O)C(O)(CO)CO>>O.O=C([C@@H](O)CO)C(O)(CO)CO,#000000
O.OCC(O)=C(O)C(O)(CO)CO>>O.O=C([C@H](O)CO)C(O)(CO)CO,#000000
O.OCC(O)=C(O)C(O)(CO)CO>>O.O=C(C(O)CO)C(O)(CO)CO,#000000
O.OCC(O)=C(O)C(O)(CO)CO>>O.O=C(CO)[C@@H](O)C(O)(CO)CO,#000000
O.OCC(O)=C(O)C(O)(CO)CO>>O.O=C(CO)[C@H](O)C(O)(CO)CO,#000000
O.OCC(O)=C(O)C(O)(CO)CO>>O.O=C(CO)C(O)C(O)(CO)CO,#000000
O.OCC(O)=C(O)C(O)C(O)CO>>O.O=C(C(O)CO)C(O)C(O)CO,#000000
O.OCC(O)=C(O)C(O)C(O)CO>>O.O=C(CO)C(O)C(O)C(O)CO,#000000
O.OCC(O)=C(O)C(O)CO>>O.O=C(C(O)CO)C(O)CO,#000000
O.OCC(O)=C(O)C(O)CO>>O.O=C(CO)C(O)C(O)CO,#000000
O.OCC(O)=C(O)CO>>O.O=C(CO)[C@@H](O)CO,#000000
O.OCC(O)=C(O)CO>>O.O=C(CO)[C@H](O)CO,#000000
O.OCC(O)=C(O)CO>>O.O=C(CO)C(O)CO,#000000
O.OCC(O)C(O)=C(O)C(O)CO>>O.O=C(C(O)CO)C(O)C(O)CO,#000000
O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO.[OH-]>>OC[C@H](O)C(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO>>C=O.OC=C(O)[C@@H](O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)[C@@H](O)CO)[C@H](O)CO>>O=CCO.OC=C(O)[C@H](O)CO,#114a7e
O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO.[OH-]>>OC[C@@H](O)C(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO>>C=O.OC=C(O)[C@@H](O)[C@H](O)CO,#114a7e
O=C([C@@H](O)[C@H](O)CO)[C@H](O)CO>>O=CCO.OC=C(O)[C@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO.[OH-]>>OC[C@H](O)C(O)=C(O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO>>C=O.OC=C(O)[C@@H](O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@@H](O)[C@@H](O)CO>>O=CCO.OC=C(O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO.[OH-]>>OC[C@H](O)C(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO>>C=O.OC=C(O)[C@@H](O)[C@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@@H](O)[C@H](O)CO>>O=CCO.OC=C(O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@@H](O)CO>>C=O.OC=C(O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO.[OH-]>>OC[C@H](O)C(O)=C(O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO>>C=O.OC=C(O)[C@H](O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@H](O)[C@@H](O)CO>>O=CCO.OC=C(O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO.[OH-]>>OC[C@H](O)C(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO>>C=O.OC=C(O)[C@H](O)[C@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@H](O)[C@H](O)CO>>O=CCO.OC=C(O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@@H](O)CO)[C@H](O)CO>>C=O.OC=C(O)[C@@H](O)CO,#114a7e
O=C([C@@H](O)CO)[C@H](O)CO>>C=O.OC=C(O)[C@H](O)CO,#114a7e
O=C([C@@H](O)CO)C(O)(CO)CO.[OH-]>>OCC(O)=C(O)C(O)(CO)CO.[OH-],#000000
O=C([C@@H](O)CO)C(O)(CO)CO>>C=O.OC=C(O)C(O)(CO)CO,#114a7e
O=C([C@@H](O)CO)C(O)(CO)CO>>C=O.OCC(O)=C(O)[C@@H](O)CO,#114a7e
O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO.[OH-]>>OC[C@H](O)C(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO>>C=O.OC=C(O)[C@H](O)[C@@H](O)CO,#114a7e
O=C([C@H](O)CO)[C@H](O)[C@@H](O)CO>>O=CCO.OC=C(O)[C@H](O)CO,#114a7e
O=C([C@H](O)CO)[C@H](O)[C@H](O)CO.[OH-]>>OC[C@@H](O)C(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@H](O)CO)[C@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C([C@H](O)CO)[C@H](O)[C@H](O)CO>>C=O.OC=C(O)[C@H](O)[C@H](O)CO,#114a7e
O=C([C@H](O)CO)[C@H](O)[C@H](O)CO>>O=CCO.OC=C(O)[C@H](O)CO,#114a7e
O=C([C@H](O)CO)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C([C@H](O)CO)[C@H](O)CO>>C=O.OC=C(O)[C@H](O)CO,#114a7e
O=C([C@H](O)CO)C(O)(CO)CO.[OH-]>>OCC(O)=C(O)C(O)(CO)CO.[OH-],#000000
O=C([C@H](O)CO)C(O)(CO)CO>>C=O.OC=C(O)C(O)(CO)CO,#114a7e
O=C([C@H](O)CO)C(O)(CO)CO>>C=O.OCC(O)=C(O)[C@H](O)CO,#114a7e
O=C(C(O)CO)C(O)(CO)CO.[OH-]>>OCC(O)=C(O)C(O)(CO)CO.[OH-],#000000
O=C(C(O)CO)C(O)(CO)CO>>C=O.OC=C(O)C(O)(CO)CO,#114a7e
O=C(C(O)CO)C(O)(CO)CO>>C=O.OCC(O)=C(O)C(O)CO,#114a7e
O=C(C(O)CO)C(O)C(O)CO.[OH-]>>OCC(O)=C(O)C(O)C(O)CO.[OH-],#000000
O=C(C(O)CO)C(O)C(O)CO.[OH-]>>OCC(O)C(O)=C(O)C(O)CO.[OH-],#000000
O=C(C(O)CO)C(O)C(O)CO>>C=O.OC=C(O)C(O)C(O)CO,#114a7e
O=C(C(O)CO)C(O)C(O)CO>>O=CCO.OC=C(O)C(O)CO,#114a7e
O=C(C(O)CO)C(O)CO.[OH-]>>OCC(O)=C(O)C(O)CO.[OH-],#000000
O=C(C(O)CO)C(O)CO>>C=O.OC=C(O)C(O)CO,#114a7e
O=C(CO)[C@](O)(CO)[C@@H](O)CO.[OH-]>>OC=C(O)[C@](O)(CO)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@](O)(CO)[C@@H](O)CO>>C=O.OCC(O)=C(O)[C@@H](O)CO,#114a7e
O=C(CO)[C@](O)(CO)[C@@H](O)CO>>O=CCO.OCC(O)=C(O)CO,#114a7e
O=C(CO)[C@](O)(CO)[C@H](O)CO.[OH-]>>OC=C(O)[C@](O)(CO)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@](O)(CO)[C@H](O)CO>>C=O.OCC(O)=C(O)[C@H](O)CO,#114a7e
O=C(CO)[C@](O)(CO)[C@H](O)CO>>O=CCO.OCC(O)=C(O)CO,#114a7e
O=C(CO)[C@@](O)(CO)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@](O)(CO)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@](O)(CO)[C@@H](O)CO>>C=O.OCC(O)=C(O)[C@@H](O)CO,#114a7e
O=C(CO)[C@@](O)(CO)[C@@H](O)CO>>O=CCO.OCC(O)=C(O)CO,#114a7e
O=C(CO)[C@@](O)(CO)[C@H](O)CO.[OH-]>>OC=C(O)[C@@](O)(CO)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@](O)(CO)[C@H](O)CO>>C=O.OCC(O)=C(O)[C@H](O)CO,#114a7e
O=C(CO)[C@@](O)(CO)[C@H](O)CO>>O=CCO.OCC(O)=C(O)CO,#114a7e
O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@@H](O)CO>>O=CCO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)[C@H](O)CO>>O=CCO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)C(O)(CO)CO.[OH-]>>OC=C(O)[C@@H](O)C(O)(CO)CO.[OH-],#000000
O=C(CO)[C@@H](O)C(O)(CO)CO.[OH-]>>OCC(O)=C(O)C(O)(CO)CO.[OH-],#000000
O=C(CO)[C@@H](O)C(O)(CO)CO>>O=C(CO)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@@H](O)CO.[OH-]>>OC=C(O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)CO.[OH-],#000000
O=C(CO)[C@@H](O)CO>>C=O.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@@H](O)CO>>O=CCO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@H](O)[C@@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@H](O)[C@@H](O)CO>>O=C[C@@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@H](O)[C@H](O)CO>>O=C[C@H](O)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@H](O)CO.[OH-]>>OCC(O)=C(O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)[C@H](O)CO>>O=CCO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)C(O)(CO)CO.[OH-]>>OC=C(O)[C@H](O)C(O)(CO)CO.[OH-],#000000
O=C(CO)[C@H](O)C(O)(CO)CO.[OH-]>>OCC(O)=C(O)C(O)(CO)CO.[OH-],#000000
O=C(CO)[C@H](O)C(O)(CO)CO>>O=C(CO)CO.OC=C(O)CO,#114a7e
O=C(CO)[C@H](O)CO.[OH-]>>OC=C(O)[C@H](O)CO.[OH-],#000000
O=C(CO)[C@H](O)CO.[OH-]>>OCC(O)=C(O)CO.[OH-],#000000
O=C(CO)[C@H](O)CO>>C=O.OC=C(O)CO,#114a7e
O=C(CO)C(O)(CO)C(O)CO.[OH-]>>OC=C(O)C(O)(CO)C(O)CO.[OH-],#000000
O=C(CO)C(O)(CO)C(O)CO>>C=O.OCC(O)=C(O)C(O)CO,#114a7e
O=C(CO)C(O)(CO)C(O)CO>>O=CCO.OCC(O)=C(O)CO,#114a7e
O=C(CO)C(O)(CO)CO.[OH-]>>OC=C(O)C(O)(CO)CO.[OH-],#000000
O=C(CO)C(O)(CO)CO.[OH-]>>OC=C(O)C(O)(CO)CO.[OH-],#000000
O=C(CO)C(O)(CO)CO>>C=O.OCC(O)=C(O)CO,#114a7e
